Indexador,Ativo,Dias_Out_Of_Sample,Dias_Violacao_VaR_Esperados,Dias_Violacao_VaR_Reais,P_Valor_POF,POF_Valido,P_Valor_CC,CC_Valido,P_Valor_Joint,Joint_Valido,Modelo_Valido,POF_Valido_Num,Joint_90,Joint_95,Joint_99
CDI_Spread,AEGP19,673,6.7300,25,0.0000,NÃO,0.0116,NÃO,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,AERI11,196,1.9600,40,0.0000,NÃO,0.3190,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,AERI12,181,1.8100,46,0.0000,NÃO,0.6283,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,AETE11,103,1.0300,3,0.1129,SIM,0.0550,SIM,0.0452,NÃO,NÃO,1,0,0,1
CDI_Spread,ALGA18,39,0.3900,1,0.4120,SIM,,SIM,,SIM,SIM,1,0,0,0
CDI_Spread,ALGA19,78,0.7800,0,0.2105,SIM,,SIM,,SIM,SIM,1,0,0,0
CDI_Spread,ALGA28,138,1.3800,4,0.0683,SIM,0.6237,SIM,0.1682,SIM,SIM,1,1,1,1
CDI_Spread,ALGAA1,210,2.1000,16,0.0000,NÃO,0.1032,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,ALGAA2,386,3.8600,18,0.0000,NÃO,0.8600,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,ALSR12,83,0.8300,24,0.0000,NÃO,0.7651,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,ALUP17,270,2.7000,10,0.0006,NÃO,0.3795,SIM,0.0019,NÃO,NÃO,0,0,0,0
CDI_Spread,AMBP12,96,0.9600,5,0.0034,NÃO,0.5061,SIM,0.0109,NÃO,NÃO,0,0,0,1
CDI_Spread,AMBP13,289,2.8900,4,0.5351,SIM,0.7371,SIM,0.7799,SIM,SIM,1,1,1,1
CDI_Spread,ANHB10,272,2.7200,4,0.4660,SIM,0.7292,SIM,0.7221,SIM,SIM,1,1,1,1
CDI_Spread,ANHBA2,97,0.9700,28,0.0000,NÃO,0.0049,NÃO,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,APRB28,403,4.0300,17,0.0000,NÃO,0.7426,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,ARML12,274,2.7400,10,0.0007,NÃO,0.3628,SIM,0.0020,NÃO,NÃO,0,0,0,0
CDI_Spread,ARTR29,110,1.1000,6,0.0010,NÃO,0.4030,SIM,0.0032,NÃO,NÃO,0,0,0,0
CDI_Spread,ARTRA1,380,3.8000,1,0.0858,SIM,0.9420,SIM,0.2281,SIM,SIM,1,1,1,1
CDI_Spread,ASAI12,227,2.2700,7,0.0114,NÃO,0.5035,SIM,0.0325,NÃO,NÃO,0,0,0,1
CDI_Spread,ASAI14,418,4.1800,14,0.0001,NÃO,0.3240,SIM,0.0004,NÃO,NÃO,0,0,0,0
CDI_Spread,ASAI22,380,3.8000,20,0.0000,NÃO,0.1354,SIM,0.0000,NÃO,NÃO,0,0,0,0
CDI_Spread,BBML13,30,0.3000,4,0.0002,NÃO,0.2569,SIM,0.0005,NÃO,NÃO,0,0,0,0
CDI_Spread,BCBF15,79,0.7900,0,0.2076,SIM,,SIM,,SIM,SIM,1,0,0,0
